Player,POS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,GP,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Label
Spencer Hawes,PF,14.58,0.53,0.24,0.18,6.54,21.91,14.16,14.09,0.88,3.15,14.22,19.51,0.61,1.46,2.06,0.08,-0.89,0.4,-0.49,0.39,58,32,22.26,3.56,7.74,0.46,0.67,1.8,0.33,2.9,5.94,0.5,0.5,1.02,1.37,0.74,1.34,4.3,5.64,1.94,0.39,0.91,1.41,2.36,8.81,Starter
Stanley Johnson,SF,9.59,0.5,0.43,0.21,3.42,15.5,9.32,12.51,2.13,1.17,15.64,17.39,-0.44,1.19,0.74,0.03,-3.31,0.69,-2.62,-0.15,52,11,18.12,2.23,5.56,0.4,0.74,2.39,0.32,1.5,3.16,0.47,0.47,0.85,1.13,0.73,0.55,2.44,3.0,1.5,0.8,0.23,1.06,1.76,6.02,Bust
Stephen Curry,PG-SG,23.41,0.62,0.52,0.24,2.22,13.11,7.75,31.45,2.13,0.69,13.85,29.32,6.49,2.45,8.96,0.19,6.14,0.16,6.28,4.68,64,64,33.43,8.26,17.62,0.47,3.84,9.32,0.42,4.41,8.3,0.53,0.58,3.98,4.34,0.91,0.67,4.08,4.72,6.3,1.44,0.28,3.09,2.24,24.32,Superstar
Steve Novak,SF,12.22,0.6,0.78,0.06,1.06,12.81,7.04,3.32,0.42,0.54,4.62,15.92,0.71,0.22,0.94,0.11,1.52,-1.29,0.26,0.25,32,0,8.14,1.12,2.54,0.42,0.86,1.99,0.43,0.24,0.55,0.43,0.59,0.15,0.17,0.78,0.09,0.81,0.89,0.18,0.08,0.07,0.12,0.61,3.24,Role Player
Steven Adams,C,16.7,0.58,0.0,0.48,15.57,19.12,17.37,8.43,1.54,3.09,17.0,14.28,3.12,2.48,5.62,0.15,-0.02,0.41,0.38,1.14,69,59,25.7,3.64,6.2,0.58,0.0,0.01,0.04,3.64,6.15,0.58,0.58,1.45,2.78,0.52,3.67,4.5,8.16,1.55,0.84,0.93,1.43,2.31,8.73,Star
Steven Hunter,C-PF,12.32,0.54,0.0,0.59,9.64,15.25,12.42,1.56,0.4,5.15,13.02,14.95,0.7,0.62,1.32,0.07,-2.66,-0.61,-3.28,-0.06,50,16,13.26,1.62,2.98,0.53,0.0,0.0,0.0,1.62,2.98,0.53,0.53,0.8,1.68,0.47,1.1,1.76,2.84,0.16,0.12,0.92,0.56,1.49,4.05,Bust
Taj Gibson,PF,13.88,0.55,0.08,0.25,9.67,16.8,13.23,6.58,1.14,3.3,12.14,15.52,1.54,1.7,3.24,0.11,-1.86,0.32,-1.56,0.32,55,27,20.6,3.08,5.98,0.51,0.08,0.26,0.26,3.0,5.72,0.53,0.52,1.14,1.6,0.74,1.84,3.19,5.03,0.86,0.47,0.84,0.91,2.19,7.38,Starter
Taurean Prince,SF,10.96,0.56,0.52,0.2,2.02,13.95,8.05,9.95,1.61,1.68,12.95,18.05,0.18,1.28,1.46,0.05,-1.85,-0.16,-2.02,-0.02,57,32,23.74,3.39,8.03,0.42,1.61,4.22,0.38,1.77,3.82,0.47,0.52,1.29,1.57,0.82,0.45,3.06,3.49,1.66,0.78,0.43,1.3,2.02,9.69,Role Player
Terrence Ross,SG-SF,12.09,0.54,0.52,0.13,1.63,11.37,6.46,8.83,1.68,1.08,8.62,19.54,0.77,1.25,2.01,0.07,-0.85,-0.34,-1.22,0.36,58,15,24.33,3.93,9.37,0.42,1.75,4.87,0.36,2.2,4.48,0.49,0.51,1.07,1.27,0.82,0.33,2.45,2.79,1.37,0.83,0.32,0.95,1.73,10.69,Starter
Terry Rozier,PG-SG,14.18,0.52,0.44,0.17,2.92,13.03,7.93,20.56,1.56,0.81,9.72,22.49,1.34,1.53,2.88,0.07,0.31,-0.5,-0.21,0.98,60,37,28.15,5.35,12.67,0.41,2.05,5.7,0.35,3.31,6.95,0.45,0.48,1.91,2.29,0.83,0.66,3.2,3.86,3.82,0.93,0.25,1.41,1.47,14.7,Starter
Thaddeus Young,SF,16.31,0.55,0.13,0.17,8.83,14.97,11.82,12.2,2.59,1.22,11.91,18.73,1.62,1.79,3.42,0.11,0.01,0.57,0.59,0.98,58,35,25.28,4.61,9.15,0.52,0.38,1.2,0.27,4.22,7.96,0.54,0.54,1.04,1.63,0.6,1.84,3.31,5.13,1.82,1.27,0.35,1.27,1.99,10.66,Starter
Thomas Bryant,PF-C,17.47,0.63,0.29,0.3,8.31,22.22,15.31,7.28,0.86,3.52,8.93,17.53,1.56,0.73,2.3,0.15,0.17,-0.35,-0.17,0.49,38,15,16.48,3.18,5.52,0.54,0.5,1.44,0.34,2.67,4.08,0.64,0.59,1.23,1.57,0.78,1.28,3.34,4.59,0.82,0.29,0.64,0.63,1.55,8.05,Starter
Tim Hardaway Jr.,SG,13.04,0.55,0.54,0.21,1.3,10.32,5.81,10.65,1.12,0.41,7.38,21.88,1.55,1.02,2.54,0.07,0.02,-1.39,-1.36,0.32,63,35,27.9,4.91,11.91,0.41,2.29,6.43,0.35,2.63,5.49,0.48,0.51,2.11,2.59,0.82,0.34,2.63,2.97,1.91,0.64,0.14,1.06,1.69,14.23,Starter
T.J. Ford,PG,14.32,0.5,0.11,0.29,2.71,9.7,6.18,33.74,2.17,0.42,19.9,21.35,0.81,1.27,2.11,0.06,-0.7,-0.09,-0.77,0.59,54,38,25.5,3.82,8.82,0.43,0.26,0.95,0.26,3.56,7.88,0.45,0.44,2.09,2.56,0.8,0.64,2.19,2.82,5.35,1.06,0.12,2.25,2.14,9.95,Role Player
TJ McConnell,PG,15.87,0.55,0.11,0.11,2.92,12.28,7.61,34.12,2.66,0.78,18.37,17.54,1.6,1.63,3.2,0.1,-0.38,0.84,0.44,0.87,71,10,21.3,3.45,6.68,0.51,0.26,0.73,0.34,3.19,5.95,0.53,0.53,0.59,0.76,0.78,0.56,2.38,2.94,5.02,1.21,0.2,1.57,1.42,7.73,Starter
T.J. Warren,SF,14.35,0.55,0.2,0.15,4.79,12.45,8.63,7.61,1.56,1.29,7.05,20.21,1.31,0.72,2.0,0.08,-1.03,-0.57,-1.61,0.37,39,21,23.17,4.9,9.78,0.49,0.57,1.83,0.28,4.34,7.94,0.54,0.52,1.37,1.74,0.75,0.96,2.48,3.45,1.07,0.75,0.35,0.81,2.13,11.75,Role Player
Tobias Harris,SF-PF,16.37,0.56,0.28,0.23,3.8,18.01,10.9,11.23,1.22,1.5,9.32,21.53,2.58,1.87,4.46,0.12,1.04,-0.22,0.81,1.4,57,51,31.05,6.03,12.7,0.47,1.34,3.66,0.36,4.68,9.05,0.52,0.52,2.4,2.9,0.83,1.02,5.11,6.15,2.27,0.76,0.56,1.39,2.03,15.82,Star
Toney Douglas,PG,11.83,0.5,0.46,0.18,3.04,10.77,6.9,18.11,2.38,0.5,13.71,18.82,0.68,0.62,1.3,0.07,-1.71,0.42,-1.27,0.23,43,7,17.18,2.32,5.88,0.39,0.91,2.7,0.32,1.42,3.18,0.45,0.47,0.84,1.03,0.8,0.47,1.59,2.03,2.03,0.82,0.08,0.98,1.86,6.41,Role Player
Tony Allen,SG,13.91,0.53,0.09,0.36,6.41,11.89,9.16,9.75,3.26,1.5,15.59,19.06,0.65,2.11,2.78,0.1,-1.81,1.76,-0.05,0.74,59,32,21.57,3.14,6.53,0.48,0.15,0.57,0.26,2.96,5.98,0.5,0.49,1.66,2.34,0.69,1.2,2.21,3.41,1.29,1.36,0.41,1.39,2.35,8.07,Starter
Tony Snell,SF-SG,8.44,0.57,0.63,0.08,1.7,10.49,6.11,6.76,1.0,0.94,9.49,11.81,0.91,0.82,1.71,0.06,-2.05,-0.4,-2.44,-0.05,59,29,20.67,2.08,4.83,0.43,1.15,2.97,0.39,0.91,1.84,0.5,0.55,0.37,0.43,0.9,0.29,1.92,2.22,1.02,0.42,0.23,0.52,1.43,5.68,Role Player
Trenton Hassell,SG-SF,7.2,0.48,0.07,0.17,3.85,9.34,6.61,9.73,0.91,1.0,13.56,11.66,0.41,0.86,1.27,0.03,-3.3,-0.33,-3.63,-0.39,64,39,22.44,2.06,4.67,0.44,0.11,0.38,0.23,1.95,4.29,0.45,0.45,0.69,0.94,0.74,0.75,1.78,2.55,1.5,0.38,0.34,0.81,1.99,4.95,Bust
Trevor Ariza,SG-SF,12.87,0.53,0.4,0.31,4.58,15.47,10.02,10.78,2.44,1.01,12.57,15.96,1.08,1.68,2.77,0.09,-0.67,0.97,0.3,0.92,51,34,26.93,3.23,7.63,0.43,1.2,3.46,0.29,2.02,4.15,0.49,0.5,1.48,2.03,0.73,0.92,3.61,4.53,2.0,1.3,0.32,1.21,1.84,9.13,Starter
Trevor Booker,PF,14.95,0.55,0.08,0.27,10.93,19.17,15.05,8.88,1.51,1.88,13.19,16.09,1.31,1.35,2.65,0.12,-0.72,0.15,-0.57,0.41,55,15,19.69,2.88,5.59,0.52,0.15,0.45,0.22,2.75,5.15,0.54,0.53,0.95,1.49,0.67,1.91,3.45,5.35,1.11,0.59,0.45,0.98,1.96,6.85,Starter
Trey Burke,PG,14.66,0.52,0.35,0.16,2.08,7.24,4.66,23.69,1.42,0.41,9.67,22.74,0.77,0.48,1.25,0.08,0.42,-1.32,-0.89,0.18,45,11,19.51,3.65,8.57,0.43,1.09,3.02,0.37,2.55,5.55,0.46,0.49,1.11,1.36,0.81,0.36,1.32,1.68,2.92,0.57,0.1,0.97,1.18,9.49,Role Player
Trey Lyles,PF,13.63,0.56,0.46,0.27,5.32,21.09,13.13,8.34,1.03,1.59,9.91,18.18,1.04,1.08,2.14,0.09,-0.38,-0.62,-1.02,0.3,60,13,18.77,2.8,6.25,0.45,0.97,2.81,0.35,1.85,3.47,0.54,0.53,1.34,1.77,0.74,0.93,3.54,4.47,1.08,0.39,0.33,0.8,1.39,7.91,Role Player
Tristan Thompson,PF,14.66,0.54,0.01,0.41,13.78,22.06,17.91,6.36,0.91,2.17,12.56,15.88,1.99,1.21,3.18,0.1,-1.16,-1.28,-2.44,0.05,55,30,22.26,3.15,6.01,0.53,0.01,0.05,0.16,3.14,5.96,0.53,0.53,1.38,2.41,0.53,2.77,4.31,7.06,0.92,0.42,0.57,1.0,1.99,7.66,Role Player
Troy Murphy,PF,13.38,0.52,0.27,0.28,6.71,22.42,14.51,8.38,1.35,1.14,11.54,16.87,1.88,1.58,3.44,0.1,-0.75,0.07,-0.67,0.73,52,33,24.33,3.32,7.57,0.43,0.71,1.94,0.32,2.61,5.64,0.47,0.47,1.72,2.24,0.76,1.54,5.02,6.55,1.35,0.62,0.41,1.06,2.36,9.09,Starter
Ty Lawson,PG,15.68,0.54,0.25,0.32,2.54,8.2,5.37,30.7,1.97,0.26,16.33,18.91,3.27,1.04,4.3,0.11,0.94,-0.63,0.3,1.3,62,36,27.39,4.04,8.94,0.45,0.79,2.21,0.36,3.27,6.72,0.48,0.49,2.33,3.05,0.73,0.59,2.01,2.6,5.59,1.08,0.1,1.94,1.54,11.22,Starter
Tyler Zeller,PF-C,15.22,0.5,0.06,0.3,17.12,20.28,18.65,7.19,0.58,2.33,9.38,19.4,1.05,0.65,1.68,0.1,-2.01,-2.78,-4.78,0.02,40,17,14.88,2.41,4.73,0.46,0.03,0.16,0.09,2.38,4.56,0.47,0.47,1.25,1.62,0.75,1.58,2.45,4.01,0.72,0.21,0.48,0.66,2.14,6.11,Bust
Tyreke Evans,PG-SG,16.66,0.51,0.23,0.29,2.79,14.84,8.73,26.11,2.08,0.98,13.92,25.85,1.24,1.2,2.43,0.07,0.88,-0.12,0.76,1.12,53,36,28.66,5.48,12.66,0.43,0.96,2.79,0.32,4.53,9.85,0.46,0.47,2.81,3.7,0.76,0.73,3.66,4.38,4.52,1.18,0.36,2.32,2.07,14.74,Starter
Tyrus Thomas,PF-SF,16.39,0.55,0.01,0.56,6.98,18.68,12.82,9.03,2.03,4.6,13.14,20.41,-0.08,1.64,1.55,0.11,-1.54,2.2,0.66,0.25,46,13,18.37,2.74,6.18,0.49,0.01,0.09,0.13,2.73,6.09,0.49,0.49,1.87,2.53,0.76,1.21,3.28,4.48,0.83,0.78,1.21,1.23,2.21,7.37,Starter
Tyson Chandler,SF-PF,14.99,0.63,0.0,0.69,12.1,25.52,18.75,4.86,1.04,3.13,19.33,12.56,2.73,2.23,4.97,0.14,-1.02,0.44,-0.6,0.8,58,42,25.25,2.75,4.62,0.6,0.0,0.0,0.0,2.75,4.61,0.61,0.6,1.9,2.96,0.63,2.8,5.64,8.42,0.79,0.5,1.01,1.33,2.7,7.4,Starter
Tyus Jones,PG,14.7,0.53,0.38,0.15,1.41,8.91,5.15,28.51,2.35,0.4,11.22,15.71,2.35,1.03,3.39,0.11,0.14,0.19,0.35,0.92,68,22,20.73,2.88,6.53,0.44,0.94,2.58,0.36,1.92,3.96,0.48,0.51,0.73,0.88,0.82,0.27,1.69,1.96,4.34,0.97,0.11,0.8,0.75,7.46,Starter
Udonis Haslem,PF,12.54,0.52,0.1,0.26,7.25,24.23,15.9,4.9,0.86,0.98,10.77,16.04,1.16,1.4,2.54,0.09,-1.97,-0.44,-2.43,-0.0,44,25,18.84,2.36,4.94,0.47,0.04,0.25,0.11,2.33,4.7,0.49,0.48,1.03,1.37,0.74,1.32,3.78,5.1,0.62,0.34,0.22,0.7,1.9,5.83,Role Player
Victor Oladipo,SG,14.77,0.53,0.38,0.26,1.83,13.89,7.83,20.45,2.32,1.13,13.98,25.82,0.48,1.54,2.0,0.05,-0.55,-0.04,-0.61,0.84,41,33,30.92,6.02,14.18,0.42,1.82,5.32,0.34,4.22,8.85,0.48,0.49,2.78,3.64,0.76,0.52,3.89,4.37,3.95,1.48,0.4,2.48,2.37,16.62,Starter
Wayne Ellington,SG,11.07,0.55,0.6,0.11,1.56,9.63,5.52,8.38,1.42,0.36,8.33,16.76,0.96,0.61,1.58,0.07,-0.6,-0.66,-1.26,0.21,53,16,20.96,2.89,7.05,0.41,1.65,4.34,0.38,1.25,2.73,0.47,0.53,0.66,0.79,0.85,0.29,1.78,2.05,1.15,0.61,0.08,0.66,1.2,8.11,Role Player
Wesley Johnson,SF,8.56,0.48,0.5,0.13,2.59,13.04,7.8,6.37,1.57,2.27,11.04,14.76,-0.01,0.97,0.98,0.02,-2.71,-0.01,-2.71,0.09,59,32,20.03,2.3,5.85,0.38,0.91,2.75,0.32,1.38,3.12,0.44,0.46,0.55,0.75,0.71,0.49,2.33,2.82,0.93,0.65,0.57,0.77,1.82,6.08,Bust
Will Barton,SG-SF,12.65,0.51,0.36,0.19,2.93,14.58,8.74,14.58,1.67,1.31,11.55,20.07,0.83,1.04,1.87,0.06,-0.93,-0.19,-1.13,0.49,53,19,22.49,3.61,8.51,0.41,1.15,3.26,0.32,2.47,5.27,0.45,0.48,1.35,1.73,0.79,0.6,3.01,3.59,2.33,0.71,0.35,1.22,1.43,9.71,Starter
Will Bynum,PG-SG,12.61,0.48,0.15,0.28,2.34,7.89,5.0,30.4,1.99,0.42,17.58,24.22,0.45,0.41,0.86,0.02,-2.3,-1.48,-3.78,-0.01,45,4,16.41,2.7,6.31,0.42,0.21,0.88,0.22,2.5,5.42,0.46,0.43,1.42,1.82,0.74,0.31,1.1,1.42,2.96,0.62,0.08,1.46,1.7,7.0,Bust
Willie Green,SG-PG,10.62,0.5,0.29,0.16,1.83,8.66,5.24,10.95,1.36,0.54,10.81,21.08,0.21,0.86,1.08,0.04,-1.96,-1.07,-3.01,-0.22,61,25,19.47,3.18,7.49,0.42,0.72,2.02,0.36,2.44,5.48,0.44,0.48,0.92,1.2,0.77,0.32,1.42,1.73,1.31,0.51,0.15,0.97,1.68,8.0,Role Player
Zach LaVine,PG,16.93,0.59,0.39,0.26,1.41,12.56,6.95,19.4,1.29,0.7,12.9,26.65,2.16,1.1,3.27,0.08,1.81,-1.38,0.41,1.25,56,49,33.31,7.53,15.99,0.47,2.49,6.3,0.39,5.05,9.7,0.52,0.54,3.57,4.28,0.83,0.42,3.74,4.18,3.95,0.87,0.26,2.61,2.07,21.13,Starter
